"得意先","部門","製造倉庫","受注日","製造指示日","製造指示番号","品番","ｻｲｽﾞ(厚さ)","ｻｲｽﾞ(縦)","ｻｲｽﾞ(横)","ｻｲｽﾞ(高さ)","品名","色","数量","規格","製造期限","配送便","出荷日","出庫日","進捗","担当者","生地日","調達"
"三親電材　山口★","九州工場","九州工場","2026/07/28","2026/07/28","26-J0095832-001-771","BD0000C","1.60","300.0","100.0","1,000.0","国土 ﾀﾞｸﾄ 焼付","2.5Y9/1 近似色","2","ｱｰｽ付 ｹｰﾌﾞﾙ支持材付き ｾﾊﾟ無し","2026/08/05","福山通運　九州発送","2026/08/05","","仕上","三澄","2026/07/31","製造"
"三親電材　福山★","九州工場","九州工場","2026/07/28","2026/07/28","26-J0095889-001-771","ZE3020X2","2.30","300.0","300.0","200.0","ZN PB 水切","","1","ｱｰｽ","2026/08/05","福山通運　九州発送","2026/08/05","","溶接","フイ","2026/07/29","製造"
"三共電気　沖縄★","九州工場","九州工場","2026/07/28","2026/07/28","26-J0096071-004-771","SIP0000N","1.50","730.0","200.0","0.0","SUS ﾌﾟﾚｰﾄ","","1","閉塞PL 取付穴2-φ8","2026/07/31","イトカツ","2026/08/05","2026/07/31","切断","森山","2026/07/30","製造"
"三共電気　沖縄★","九州工場","九州工場","2026/07/28","2026/07/28","26-J0096071-003-771","SC0000N","1.50","730.0","400.0","200.0","SUS ｶﾊﾞｰ","","1","M6ﾅｯﾄ溶接x2 取付穴5-φ5､4-φ8","2026/07/31","イトカツ","2026/08/05","2026/07/31","組立","井上","2026/07/30","製造"
"三共電気　沖縄★","九州工場","九州工場","2026/07/28","2026/07/28","26-J0096071-002-771","SIP0000N","1.50","530.0","110.0","0.0","SUS ﾌﾟﾚｰﾄ","","1","閉塞PL 取付穴2-φ8","2026/07/31","イトカツ","2026/08/05","2026/07/31","組立","服部","2026/07/30","製造"
"三共電気　沖縄★","九州工場","九州工場","2026/07/28","2026/07/28","26-J0096071-001-771","SC0000N","1.50","530.0","310.0","110.0","SUS ｶﾊﾞｰ","","1","M6ﾅｯﾄ溶接x2 取付穴10-φ5","2026/07/31","イトカツ","2026/08/05","2026/07/31","組立","井上","2026/07/30","製造"
"カンサイ　西★","九州工場","九州工場","2026/07/28","2026/07/28","26-J0096217-001-771","SE2525XC","1.50","250.0","250.0","250.0","SUS PB 水切 焼付","2.5Y9/1 近似色","1","ｱｰｽ","2026/08/04","ヤマックス福岡","2026/08/05","","仕上","三澄","2026/07/30","製造"
"中西電機　丸亀★","九州工場","九州工場","2026/07/28","2026/07/28","26-J0096236-001-771","IP0000SC","2.30","390.0","315.0","70.0","鉄 PBﾄｸ 平 焼付","5Y7/1(近似色)","2","開口･穴加工ｱﾘ","2026/08/05","福山通運　九州発送","2026/08/05","","仕上","三澄","2026/07/31","製造"
"東芝電材　南福岡★","九州工場","九州工場","2026/07/28","2026/07/28","26-J0096347-002-771","BE2020SC","1.60","200.0","200.0","200.0","国土 PB 平 焼付","2.5Y9/1 近似色","7","ｱｰｽ","2026/08/05","佐川急便","2026/08/05","","未着手","","","加工"
"東芝電材　南福岡★","九州工場","九州工場","2026/07/28","2026/07/28","26-J0096347-001-771","BE1510SC","1.60","150.0","150.0","100.0","国土 PB 平 焼付","2.5Y9/1 近似色","6","ｱｰｽ","2026/08/04","佐川急便","2026/08/05","","未着手","","","加工"
"かごしま電工　南★","九州工場","九州工場","2026/07/29","2026/07/29","26-J0096702-002-771","SE4040XCW","1.50","400.0","400.0","400.0","SUS PB 水切 焼付","2.5Y9/1 近似色","1","ｱｰｽ 内ﾜﾆｽ","2026/08/05","佐川急便","2026/08/05","","仕上","三澄","2026/07/30","製造"
"かごしま電工　南★","九州工場","九州工場","2026/07/29","2026/07/29","26-J0096702-001-771","SE3030XCW","1.50","300.0","300.0","300.0","SUS PB 水切 焼付","2.5Y9/1 近似色","2","ｱｰｽ 内ﾜﾆｽ","2026/08/05","佐川急便","2026/08/05","","仕上","三澄","2026/07/30","製造"
"かごしま電工　南★","九州工場","九州工場","2026/07/29","2026/07/29","26-J0096711-001-771","SE4030XCW","1.50","400.0","400.0","300.0","SUS PB 水切 焼付","2.5Y9/1 近似色","1","ｱｰｽ 内ﾜﾆｽ","2026/08/05","佐川急便","2026/08/05","","仕上","三澄","2026/07/30","製造"
"かごしま電工　南★","九州工場","九州工場","2026/07/29","2026/07/29","26-J0096711-002-771","SE4040XCW","1.50","400.0","400.0","400.0","SUS PB 水切 焼付","2.5Y9/1 近似色","2","ｱｰｽ 内ﾜﾆｽ","2026/08/05","佐川急便","2026/08/05","","仕上","三澄","2026/07/30","製造"
"かごしま電工　南★","九州工場","九州工場","2026/07/29","2026/07/29","26-J0096719-001-771","BE2525SCW","1.60","250.0","250.0","250.0","国土 PB 平 焼付","2.5Y9/1 近似色","2","ｱｰｽ  内ﾜﾆｽ","2026/08/05","佐川急便","2026/08/05","","仕上","三澄","2026/07/30","製造"
"山電　八幡","九州工場","九州工場","2026/07/29","2026/07/29","26-J0097149-001-771","BMK0000C","1.60","160.0","60.0","36.5","処理鋼板 曲金物 焼付","2.5Y9/1 近似色","1","ﾊｯﾄ型 4-吊穴","2026/08/04","北九州配達","2026/08/05","","曲げ","志田","2026/07/31","製造"
"山電　八幡","九州工場","九州工場","2026/07/29","2026/07/29","26-J0097149-002-771","BMK0000C","1.60","160.0","150.0","36.5","処理鋼板 曲金物 焼付","2.5Y9/1 近似色","1","ﾊｯﾄ型 4-吊穴","2026/08/04","北九州配達","2026/08/05","","曲げ","志田","2026/07/31","製造"
"八州電気工業　津山★","九州工場","九州工場","2026/07/29","2026/07/29","26-J0097199-001-771","IIP0000C","1.60","550.0","65.0","0.0","鉄 ﾌﾟﾚｰﾄ 焼付","2.5Y9/1(近似色)","1","穴加工ｱﾘ","2026/08/05","福山通運　九州発送","2026/08/05","","切断","林(浩)","2026/07/31","製造"
"東芝電材　城南★","九州工場","九州工場","2026/07/29","2026/07/29","26-J0097224-001-771","SE1510XC","1.50","150.0","150.0","100.0","SUS PB 水切 焼付","2.5Y9/1 近似色","2","ｱｰｽ","2026/08/04","ヤマックス福岡","2026/08/05","","未着手","","","加工"
"東芝電材　城南★","九州工場","九州工場","2026/07/29","2026/07/29","26-J0097224-002-771","SE2020XC","1.50","200.0","200.0","200.0","SUS PB 水切 焼付","2.5Y9/1 近似色","1","ｱｰｽ","2026/08/04","ヤマックス福岡","2026/08/05","","仕上","三澄","2026/07/30","製造"
"三共電気　本社★","九州工場","九州工場","2026/07/29","2026/07/29","26-J0097289-001-771","IIP0000C","1.60","500.0","160.0","0.0","鉄 ﾌﾟﾚｰﾄ 焼付","2.5Y9/1 近似色","1","ｺ形 穴加工","2026/08/04","ヤマックス福岡","2026/08/05","","切断","林(浩)","2026/07/30","製造"
"Q-mast　電気グル－プ★","九州工場","九州工場","2026/07/29","2026/07/29","26-J0097336-001-771","IKM0000N","2.30","170.0","80.0","104.5","鉄 金物","","172","生地 穴加工 B地区CR取付金物","2026/08/04","ヤマックス　ｽﾎﾟｯﾄ便","2026/08/05","","曲げ","志田","2026/08/04","製造"
"中国機材設備　北★","九州工場","九州工場","2026/07/29","2026/07/29","26-J0097341-001-771","IP0000SC","1.60","400.0","400.0","200.0","鉄 PBﾄｸ 平 焼付","N9.5 近似色","2","穴加工","2026/08/05","佐川急便","2026/08/05","","仕上","山口","2026/08/03","製造"
"三親電材　米子★","九州工場","九州工場","2026/07/29","2026/07/29","26-J0097400-001-771","BE0000SG","2.30","800.0","600.0","600.0","国土 PBﾄｸ 平","","1","ｱｰｽ さび止め L型蓋　","2026/08/05","福山通運　九州発送","2026/08/05","","溶接","マイン","2026/08/04","製造"
"カンサイ　中央★","九州工場","九州工場","2026/07/29","2026/07/29","26-J0097404-001-771","SP0000XN","2.00","800.0","300.0","300.0","SUS PBﾄｸ 水切","","2","2-支持棒　2-φ240 4-φ15","2026/08/04","ヤマックス福岡","2026/08/05","","切断","岩本","2026/08/04","製造"
"三永興産★","九州工場","九州工場","2026/07/30","2026/07/30","26-J0097525-001-771","IP3015SC","1.60","300.0","300.0","150.0","鉄 PB 平 焼付","5Y7/1 近似色","1","","2026/08/05","福山通運　九州発送","2026/08/05","","仕上","三澄","2026/07/31","製造"
"Q-mast　電気グル－プ★","九州工場","九州工場","2026/07/30","2026/07/30","26-J0097560-001-771","IG0000G","0.00","1,083.0","672.0","0.0","鉄 架台","","9","/684 さび止め L65x65x6t 精錬棟2階ﾗｯｸ架台","2026/08/04","ヤマックス　ｽﾎﾟｯﾄ便","2026/08/05","","溶接","バン","2026/08/03","製造"
"Q-mast　電気グル－プ★","九州工場","九州工場","2026/07/30","2026/07/30","26-J0097560-002-771","IG0000G","0.00","1,083.0","283.0","0.0","鉄 架台","","1","/311 さび止め L65x65x6t 精錬棟2階ﾗｯｸ架台","2026/08/04","ヤマックス　ｽﾎﾟｯﾄ便","2026/08/05","","溶接","バン","2026/08/03","製造"
"木村電機　本社★","九州工場","九州工場","2026/07/30","2026/07/30","26-J0097596-001-771","BE2020SC","1.60","200.0","200.0","200.0","国土 PB 平 焼付","5Y7/1 近似色","1","ｱｰｽ","2026/08/05","佐川急便","2026/08/05","","仕上","三澄","2026/07/31","製造"
"宮地電機　高松","九州工場","九州工場","2026/07/30","2026/07/30","26-J0097859-001-771","SP0000XN","2.00","860.0","360.0","500.0","SUS PBﾄｸ 水切","","1","","2026/08/05","福山通運　九州発送","2026/08/05","","切断","岩本","2026/08/05","製造"
"米良電機　宮崎★","九州工場","九州工場","2026/07/30","2026/07/30","26-J0097926-001-771","BE2010SC","1.60","200.0","200.0","100.0","国土 PB 平 焼付","2.5Y9/1 近似色","1","ｱｰｽ","2026/08/05","佐川急便","2026/08/05","","未着手","","","加工"
"三共電気　本社★","九州工場","九州工場","2026/07/30","2026/07/30","26-J0098484-001-771","DDC0000N","2.30","740.0","250.0","1,050.0","Sﾀﾞｲﾏ ﾀﾞｸﾄｶﾊﾞｰ","","1","ﾌｰﾄﾞ L型蓋 平ふたﾊﾟｯｷﾝ付き 穴加工 止水 本体2分割","2026/08/04","ヤマックス福岡","2026/08/05","","未着手","","2026/08/04","製造"
"かごしま電工　南★","九州工場","九州工場","2026/07/31","2026/07/31","26-J0099001-002-771","BE3030SGW","1.60","300.0","300.0","300.0","国土 PB 平","","1","ｱｰｽ さび止め 内ﾜﾆｽ","2026/08/05","佐川急便","2026/08/05","","未着手","","2026/08/03","製造"
"かごしま電工　南★","九州工場","九州工場","2026/07/31","2026/07/31","26-J0099001-003-771","BE0000SGW","1.60","500.0","200.0","200.0","国土 PBﾄｸ 平","","1","ｱｰｽ さび止め 内ﾜﾆｽ","2026/08/05","佐川急便","2026/08/05","","未着手","","2026/08/03","製造"
"かごしま電工　南★","九州工場","九州工場","2026/07/31","2026/07/31","26-J0099001-001-771","BE0000SGW","1.60","500.0","250.0","200.0","国土 PBﾄｸ 平","","1","ｱｰｽ さび止め 内ﾜﾆｽ","2026/08/05","佐川急便","2026/08/05","","未着手","","2026/08/03","製造"
"ハッピー電気　山鹿★","九州工場","九州工場","2026/07/02","2026/07/02","26-J0075582-001-771","IIP0000C","1.60","330.0","330.0","0.0","鉄 ﾌﾟﾚｰﾄ 焼付","N9.5 近似色","13","開口275X275","2026/08/05","佐川急便","2026/08/06","","切断","林(浩)","2026/07/30","製造"
"南四国ﾅｼｮﾅﾙ　本社★","九州工場","九州工場","2026/07/07","2026/07/07","26-J0078661-001-771","IMK0000C","1.60","340.0","260.0","50.0","鉄 曲金物 焼付","N9.5(近似色)","4","穴加工ｱﾘ【eC-BL】","2026/08/06","福山通運　九州発送","2026/08/06","","仕上","三澄","2026/08/03","製造"
"南四国ﾅｼｮﾅﾙ　本社★","九州工場","九州工場","2026/07/07","2026/07/07","26-J0078661-002-771","IMK0000C","1.60","340.0","260.0","50.0","鉄 曲金物 焼付","N9.5(近似色)","5","穴加工ｱﾘ【eC-C】","2026/08/06","福山通運　九州発送","2026/08/06","","仕上","三澄","2026/08/03","製造"
"丸井産業　四日市★","九州工場","九州工場","2026/07/09","2026/07/09","26-J0080791-001-771","IBG0000C","0.00","1,150.0","1,200.0","714.3","鉄 防球ガード 焼付","2.5Y9/1(近似色）","27","","2026/08/05","チャーター便","2026/08/06","","曲げ","道上","2026/07/21","製造"
"巴電業　広島★","九州工場","九州工場","2026/07/14","2026/07/14","26-J0084925-003-771","ZP0000W","2.30","300.0","150.0","130.0","ZN PBﾄｸ 被せ","","10","ﾊﾟｯｷﾝ無し　底面ｾﾝﾀｰφ20　2-φ10","2026/08/03","佐川急便","2026/08/06","","溶接","フイ","2026/07/27","製造"
"巴電業　広島★","九州工場","九州工場","2026/07/14","2026/07/14","26-J0084925-004-771","ZP0000W","2.30","400.0","150.0","130.0","ZN PBﾄｸ 被せ","","4","ﾊﾟｯｷﾝ無し　底面ｾﾝﾀｰφ20　2-φ10","2026/07/31","佐川急便","2026/08/06","","溶接","マイン","2026/07/24","製造"
"巴電業　広島★","九州工場","九州工場","2026/07/14","2026/07/14","26-J0084925-002-771","ZP0000W","2.30","200.0","150.0","130.0","ZN PBﾄｸ 被せ","","5","ﾊﾟｯｷﾝ無し　底面ｾﾝﾀｰφ20　2-φ10","2026/07/31","佐川急便","2026/08/06","","溶接","マイン","2026/07/24","製造"
"平岡電気　大牟田★","九州工場","九州工場","2026/07/22","2026/07/22","26-J0090485-001-771","ZG0000","0.00","3,000.0","1,000.0","2,000.0","ZN 架台","","1","L-65x65x6t みぞ形鋼[5x50x100 ｶﾞｾｯﾄ ﾗｲﾅｰ","2026/08/06","福山通運　九州発送","2026/08/06","","溶接","ズオン","2026/07/30","製造"
"大洋電材　本社★","九州工場","九州工場","2026/07/22","2026/07/22","26-J0090625-002-771","SE1510XC","1.50","150.0","150.0","100.0","SUS PB 水切 焼付","2.5Y9/1 近似色","14","ｱｰｽ","2026/08/05","北九州配達","2026/08/06","","仕上","三澄","2026/07/31","製造"
"大洋電材　本社★","九州工場","九州工場","2026/07/22","2026/07/22","26-J0090625-001-771","SE1510XC","1.50","150.0","150.0","100.0","SUS PB 水切 焼付","2.5Y9/1 近似色","14","ｱｰｽ","2026/08/04","北九州配達","2026/08/06","","仕上","三澄","2026/07/30","製造"
"トリスタン★","九州工場","九州工場","2026/07/22","2026/07/22","26-J0090933-002-771","ZIP0000C","4.50","200.0","100.0","0.0","ZN ﾌﾟﾚｰﾄ 焼付","255R半艶(5YR2/1.5)","1","穴加工 HDZT56","2026/08/06","佐川急便","2026/08/06","","組立","金光","2026/07/27","製造"
"トリスタン★","九州工場","九州工場","2026/07/22","2026/07/22","26-J0090933-001-771","ZIP0000C","4.50","200.0","150.0","0.0","ZN ﾌﾟﾚｰﾄ 焼付","255R半艶(5YR2/1.5)","1","穴加工 HDZT56","2026/08/06","佐川急便","2026/08/06","","組立","金光","2026/07/27","製造"
"宮地電機　高知","九州工場","九州工場","2026/07/24","2026/07/24","26-J0093392-001-771","ZE3030X2","2.30","300.0","300.0","300.0","ZN PB 水切","","3","HDZT56 ｱｰｽ","2026/08/05","福山通運　九州発送","2026/08/06","","溶接","フイ","2026/07/29","製造"
"宮地電機　高知","九州工場","九州工場","2026/07/24","2026/07/24","26-J0093392-003-771","ZE2020X2","2.30","200.0","200.0","200.0","ZN PB 水切","","4","HDZT56 ｱｰｽ","2026/08/05","福山通運　九州発送","2026/08/06","","溶接","マイン","2026/07/29","製造"
"宮地電機　高知","九州工場","九州工場","2026/07/24","2026/07/24","26-J0093392-002-771","ZE4040X2","2.30","400.0","400.0","400.0","ZN PB 水切","","4","HDZT56 ｱｰｽ","2026/08/06","福山通運　九州発送","2026/08/06","","溶接","マイン","2026/07/30","製造"
"イシグロ　福岡★","九州工場","九州工場","2026/07/27","2026/07/27","26-J0094161-001-771","ZKM0000","5.00","200.0","50.0","100.0","ZN 金物","","8","SS-C-5x50x100　穴加工","2026/08/06","福山通運　九州発送","2026/08/06","","未着手","","2026/07/30","製造"
"イシグロ　福岡★","九州工場","九州工場","2026/07/27","2026/07/27","26-J0094161-003-771","ZKM0000","6.50","500.0","75.0","150.0","ZN 金物","","4","SS-C-6.5x75x150　穴加工","2026/08/06","福山通運　九州発送","2026/08/06","","溶接","奈木野","2026/07/30","製造"
"イシグロ　福岡★","九州工場","九州工場","2026/07/27","2026/07/27","26-J0094161-002-771","ZKM0000","6.50","500.0","75.0","150.0","ZN 金物","","4","SS-C-6.5x75x150　穴加工","2026/08/06","福山通運　九州発送","2026/08/06","","溶接","奈木野","2026/07/30","製造"
"カンサイ　城南★","九州工場","九州工場","2026/07/27","2026/07/27","26-J0094653-010-771","BD0000C","1.60","200.0","100.0","725.0","国土 ﾀﾞｸﾄ 焼付","2.5Y9/1 近似色","1","直線ﾀﾞｸﾄ 平蓋　ｱｰｽ/支持棒溶接 ｾﾊﾟﾚｰﾀ除外","2026/08/05","福山通運　九州発送","2026/08/06","","溶接","ハイ","2026/07/31","製造"
"カンサイ　城南★","九州工場","九州工場","2026/07/27","2026/07/27","26-J0094653-002-771","BD0000C","1.60","200.0","100.0","2,400.0","国土 ﾀﾞｸﾄ 焼付","2.5Y9/1 近似色","1","直線ﾀﾞｸﾄ 平蓋　ｱｰｽ/支持棒溶接 ｾﾊﾟﾚｰﾀ除外","2026/08/05","福山通運　九州発送","2026/08/06","","溶接","ハイ","2026/07/31","製造"
"カンサイ　城南★","九州工場","九州工場","2026/07/27","2026/07/27","26-J0094653-003-771","BD0000C","1.60","200.0","100.0","900.0","国土 ﾀﾞｸﾄ 焼付","2.5Y9/1 近似色","1","直線ﾀﾞｸﾄ 平蓋　ｱｰｽ/支持棒溶接 ｾﾊﾟﾚｰﾀ除外","2026/08/05","福山通運　九州発送","2026/08/06","","溶接","ハイ","2026/07/31","製造"
"カンサイ　城南★","九州工場","九州工場","2026/07/27","2026/07/27","26-J0094653-004-771","BD0000C","1.60","200.0","100.0","850.0","国土 ﾀﾞｸﾄ 焼付","2.5Y9/1 近似色","1","直線ﾀﾞｸﾄ 平蓋　ｱｰｽ/支持棒溶接 ｾﾊﾟﾚｰﾀ除外","2026/08/06","福山通運　九州発送","2026/08/06","","溶接","ハイ","2026/08/03","製造"
"東芝電材　熊本★","九州工場","九州工場","2026/07/28","2026/07/28","26-J0095241-001-771","IMK0000C","1.60","220.0","130.0","100.0","鉄 曲金物 焼付","5R4/14 近似色","1","上下全開口　6-φ19 4-φ5","2026/08/06","佐川急便","2026/08/06","","仕上","三澄","2026/08/03","製造"
"八州電気工業　倉敷★","九州工場","九州工場","2026/07/28","2026/07/28","26-J0095727-001-771","ZE3535W2","2.30","350.0","350.0","350.0","ZN PB 被せ","","1","ｱｰｽ　HDZT56","2026/08/06","福山通運　九州発送","2026/08/06","","溶接","フイ","2026/07/29","製造"
"ナミデン　山口★","九州工場","九州工場","2026/07/28","2026/07/28","26-J0095774-001-771","ZE5050X2A","2.30","500.0","500.0","500.0","ZN PB 水切","","1","ｱｰｽ 足付L4x50 12ﾊﾟｲx4","2026/08/06","福山通運　九州発送","2026/08/06","","溶接","マイン","2026/07/30","製造"
"イシグロ　福岡★","九州工場","九州工場","2026/07/28","2026/07/28","26-J0095987-004-771","ZG0000","6.00","830.0","65.0","1,700.0","ZN 架台","","1","SS-L-65x65x6t　穴加工","2026/08/06","福山通運　九州発送","2026/08/06","","溶接","ゴック","2026/07/30","製造"
"イシグロ　福岡★","九州工場","九州工場","2026/07/28","2026/07/28","26-J0095987-003-771","ZKM0000","6.00","1,460.0","65.0","65.0","ZN 金物","","2","SS-L-65x65x6t　穴加工","2026/08/06","福山通運　九州発送","2026/08/06","","未着手","","2026/07/30","製造"
"イシグロ　福岡★","九州工場","九州工場","2026/07/28","2026/07/28","26-J0095987-002-771","ZG0000","6.00","200.0","65.0","1,300.0","ZN 架台","","10","SS-L-65x65x6t　穴加工","2026/08/06","福山通運　九州発送","2026/08/06","","溶接","ズオン","2026/07/30","製造"
"イシグロ　福岡★","九州工場","九州工場","2026/07/28","2026/07/28","26-J0095987-001-771","ZKM0000","5.00","200.0","50.0","100.0","ZN 金物","","8","SS-C-5x50x100　穴加工","2026/08/06","福山通運　九州発送","2026/08/06","","未着手","","2026/07/30","製造"
"イシグロ　福岡★","九州工場","九州工場","2026/07/28","2026/07/28","26-J0095987-007-771","ZG0000","6.00","200.0","65.0","1,300.0","ZN 架台","","30","SS-L-65x65x6t　穴加工","2026/08/05","福山通運　九州発送","2026/08/06","","溶接","ズオン","2026/07/29","製造"
"イシグロ　福岡★","九州工場","九州工場","2026/07/28","2026/07/28","26-J0095987-005-771","ZG0000","6.00","1,760.0","65.0","970.0","ZN 架台","","1","SS-L-65x65x6t　穴加工","2026/08/06","福山通運　九州発送","2026/08/06","","溶接","ズオン","2026/07/30","製造"
"ナミデン　福岡★","九州工場","九州工場","2026/07/29","2026/07/29","26-J0096551-001-771","ZE6040W3","3.20","600.0","600.0","400.0","ZN PB 被せ","","1","ｱｰｽ","2026/08/05","ヤマックス福岡","2026/08/06","","溶接","マイン","2026/07/30","製造"
"かごしま電工　南★","九州工場","九州工場","2026/07/29","2026/07/29","26-J0096727-002-771","SE4040XCW","1.50","400.0","400.0","400.0","SUS PB 水切 焼付","2.5Y9/1 近似色","1","ｱｰｽ 内ﾜﾆｽ","2026/08/06","佐川急便","2026/08/06","","仕上","山口","2026/07/31","製造"
"かごしま電工　南★","九州工場","九州工場","2026/07/29","2026/07/29","26-J0096727-001-771","SE3030XCW","1.50","300.0","300.0","300.0","SUS PB 水切 焼付","2.5Y9/1 近似色","5","ｱｰｽ 内ﾜﾆｽ","2026/08/06","佐川急便","2026/08/06","","仕上","山口","2026/07/31","製造"
"かごしま電工　南★","九州工場","九州工場","2026/07/29","2026/07/29","26-J0096737-001-771","SE3030XCW","1.50","300.0","300.0","300.0","SUS PB 水切 焼付","5Y7/1 近似色","6","ｱｰｽ 内ﾜﾆｽ","2026/08/06","佐川急便","2026/08/06","","仕上","山口","2026/07/31","製造"
"越智電機産業　今治★","九州工場","九州工場","2026/07/29","2026/07/29","26-J0097245-001-771","BP0000SC","1.60","150.0","100.0","150.0","国土 PBﾄｸ 平 焼付","5Y7/1(近似色)","1","ｱｰｽ無 開口･穴加工ｱﾘ","2026/08/06","福山通運　九州発送","2026/08/06","","仕上","三澄","2026/08/03","製造"
"越智電機産業　今治★","九州工場","九州工場","2026/07/29","2026/07/29","26-J0097245-002-771","IMK0000C","3.20","159.4","35.0","120.0","鉄 曲金物 焼付","5Y7/1(近似色)","1","","2026/08/06","福山通運　九州発送","2026/08/06","","曲げ","志田","2026/08/03","製造"
"栗田電機　松山★","九州工場","九州工場","2026/07/29","2026/07/29","26-J0097260-001-771","DKW0000N","1.60","295.0","295.0","130.0","Sﾀﾞｲﾏ 貫通枠","","1","/380/380","2026/08/06","福山通運　九州発送","2026/08/06","","仕上","三澄","2026/08/05","製造"
"かごしま電工　国分★","九州工場","九州工場","2026/07/29","2026/07/29","26-J0097367-001-771","ID0000C","1.60","700.0","200.0","800.0","鉄 ﾀﾞｸﾄ 焼付","2.5Y9/1 近似色","1","正面平蓋　背面取付穴6-φ12","2026/08/06","佐川急便","2026/08/06","","溶接","カイ","2026/08/03","製造"
"カンサイHD　電設★","九州工場","九州工場","2026/07/29","2026/07/29","26-J0097514-011-771","DP3030SNP","1.60","300.0","300.0","300.0","Sﾀﾞｲﾏ PB 平","","1","ｺﾞﾑﾊﾟｯｷﾝ付","2026/08/06","チャーター便","2026/08/06","","切断","岩本","2026/08/04","製造"
"カンサイHD　電設★","九州工場","九州工場","2026/07/29","2026/07/29","26-J0097514-006-771","DP0000WN","1.60","600.0","300.0","300.0","Sﾀﾞｲﾏ PBﾄｸ 被せ","","5","穴加工","2026/08/06","チャーター便","2026/08/06","","曲げ","ラム","2026/08/04","製造"
"カンサイHD　電設★","九州工場","九州工場","2026/07/29","2026/07/29","26-J0097514-007-771","DE0000WN","2.30","500.0","1,000.0","300.0","Sﾀﾞｲﾏ PBﾄｸ 被せ","","5","ｱｰｽ 穴加工","2026/08/06","チャーター便","2026/08/06","","切断","岩本","2026/08/04","製造"
"カンサイHD　電設★","九州工場","九州工場","2026/07/29","2026/07/29","26-J0097514-005-771","DP0000SN","1.60","300.0","300.0","300.0","Sﾀﾞｲﾏ PBﾄｸ 平","","1","開口穴1面蓋","2026/08/06","チャーター便","2026/08/06","","溶接","恒川","2026/08/04","製造"
"カンサイHD　電設★","九州工場","九州工場","2026/07/29","2026/07/29","26-J0097514-004-771","DE0000SN","1.60","600.0","600.0","600.0","Sﾀﾞｲﾏ PBﾄｸ 平","","1","ｱｰｽ 開口穴　2面蓋","2026/08/06","チャーター便","2026/08/06","","溶接","カイ","2026/08/04","製造"
"カンサイHD　電設★","九州工場","九州工場","2026/07/29","2026/07/29","26-J0097514-003-771","ZG0000","0.00","100.0","50.0","700.0","ZN 架台","","1","穴加工　C100x50 先メッキ","2026/08/06","チャーター便","2026/08/06","","未着手","","2026/08/04","製造"
"カンサイHD　電設★","九州工場","九州工場","2026/07/29","2026/07/29","26-J0097514-012-771","DE0000SN","2.30","1,000.0","550.0","1,150.0","Sﾀﾞｲﾏ PBﾄｸ 平","","1","ｱｰｽ 穴あきアングル溶接","2026/08/06","チャーター便","2026/08/06","","曲げ","道上","2026/08/04","製造"
"カンサイHD　電設★","九州工場","九州工場","2026/07/29","2026/07/29","26-J0097514-002-771","ZAI0000","0.00","50.0","50.0","6,000.0","ZN ｱﾝｸﾞﾙ","","2","L50x50x6t 先メッキ","2026/08/06","チャーター便","2026/08/06","","未着手","","2026/08/04","製造"
"カンサイHD　電設★","九州工場","九州工場","2026/07/29","2026/07/29","26-J0097514-001-771","ZG0000","0.00","100.0","50.0","6,000.0","ZN 架台","","2","C100x50x5x7.5 先メッキ","2026/08/06","チャーター便","2026/08/06","","未着手","","2026/08/04","製造"
"かごしま電工　奄美★","九州工場","九州工場","2026/07/30","2026/07/30","26-J0097608-001-771","SE4030XCW","1.50","400.0","400.0","300.0","SUS PB 水切 焼付","5Y7/1 近似色","1","ｱｰｽ 内ﾜﾆｽ","2026/08/06","佐川急便","2026/08/06","","仕上","三澄","2026/07/31","製造"
"平岡電気　福岡東★","九州工場","九州工場","2026/07/30","2026/07/30","26-J0098173-001-771","DC0000N","1.60","1,140.0","190.0","15.0","Sﾀﾞｲﾏ ｶﾊﾞｰ","","2","三方コーキング代 穴加工","2026/08/05","ヤマックス福岡","2026/08/06","","曲げ","道上","2026/08/05","製造"
"平岡電気　福岡東★","九州工場","九州工場","2026/07/30","2026/07/30","26-J0098173-002-771","DC0000N","1.60","750.0","150.0","15.0","Sﾀﾞｲﾏ ｶﾊﾞｰ","","1","三方コーキング代 穴加工","2026/08/05","ヤマックス福岡","2026/08/06","","曲げ","道上","2026/08/05","製造"
"木村電機　熊本東★","九州工場","九州工場","2026/07/30","2026/07/30","26-J0098566-001-771","BE2010SC","1.60","200.0","200.0","100.0","国土 PB 平 焼付","2.5Y9/1 近似色","1","ｱｰｽ","2026/08/06","佐川急便","2026/08/06","","未着手","","","加工"
"田中商事　熊本","九州工場","九州工場","2026/07/31","2026/07/31","26-J0098750-001-771","SE5030XC","1.50","500.0","500.0","300.0","SUS PB 水切 焼付","5Y7/1 近似色","1","ｱｰｽ","2026/08/06","佐川急便","2026/08/06","","切断","井上(隆)","2026/08/03","製造"
"カンサイ　中央★","九州工場","九州工場","2026/07/31","2026/07/31","26-J0098822-001-771","BE3030SC","1.60","300.0","300.0","300.0","国土 PB 平 焼付","2.5Y9/1 近似色","1","ｱｰｽ","2026/08/06","佐川急便","2026/08/06","","未着手","","2026/08/03","製造"
